ft-MSL,acres,acre-feet
1000.0,15602,491941
1000.1,15635,493502
1000.2,15670,495068
1000.3,15707,496636
1000.4,15746,498210
1000.5,15786,499786
1000.6,15825,501366
1000.7,15866,502951
1000.8,15909,504539
1000.9,15952,506133
1001.0,15995,507730
1001.1,16036,509331
1001.2,16075,510937
1001.3,16114,512547
1001.4,16154,514161
1001.5,16195,515778
1001.6,16235,517399
1001.7,16272,519025
1001.8,16308,520653
1001.9,16344,522287
1002.0,16378,523922
1002.1,16412,525561
1002.2,16445,527205
1002.3,16478,528851
1002.4,16510,530501
1002.5,16541,532153
1002.6,16573,533808
1002.7,16603,535467
1002.8,16634,537129
1002.9,16665,538794
1003.0,16697,540462
1003.1,16729,542133
1003.2,16761,543808
1003.3,16793,545485
1003.4,16825,547167
1003.5,16858,548851
1003.6,16893,550538
1003.7,16928,552229
1003.8,16964,553924
1003.9,16999,555622
1004.0,17035,557324
1004.1,17072,559029
1004.2,17109,560738
1004.3,17145,562451
1004.4,17180,564168
1004.5,17215,565887
1004.6,17249,567610
1004.7,17283,569337
1004.8,17316,571066
1004.9,17350,572800
1005.0,17383,574537
1005.1,17417,576276
1005.2,17453,578020
1005.3,17488,579767
1005.4,17523,581518
1005.5,17559,583272
1005.6,17596,585029
1005.7,17633,586791
1005.8,17671,588556
1005.9,17708,590326
1006.0,17745,592098
1006.1,17782,593874
1006.2,17821,595655
1006.3,17861,597438
1006.4,17904,599227
1006.5,17950,601019
1006.6,17999,602816
1006.7,18046,604619
1006.8,18092,606426
1006.9,18135,608238
1007.0,18176,610053
1007.1,18215,611872
1007.2,18253,613696
1007.3,18289,615523
1007.4,18325,617354
1007.5,18361,619188
1007.6,18397,621025
1007.7,18433,622868
1007.8,18470,624712
1007.9,18508,626562
1008.0,18548,628414
1008.1,18590,630271
1008.2,18634,632133
1008.3,18678,633998
1008.4,18721,635868
1008.5,18765,637742
1008.6,18810,639620
1008.7,18856,641504
1008.8,18899,643392
1008.9,18942,645284
1009.0,18984,647180
1009.1,19024,649080
1009.2,19063,650985
1009.3,19099,652893
1009.4,19134,654805
1009.5,19168,656720
1009.6,19201,658638
1009.7,19236,660560
1009.8,19270,662485
1009.9,19305,664415
1010.0,19340,666347
1010.1,19375,668282
1010.2,19411,670222
1010.3,19447,672164
1010.4,19484,674112
1010.5,19523,676061
1010.6,19560,678015
1010.7,19599,679974
1010.8,19637,681935
1010.9,19676,683902
1011.0,19717,685871
1011.1,19762,687844
1011.2,19805,689823
1011.3,19847,691805
1011.4,19889,693793
1011.5,19931,695783
1011.6,19973,697778
1011.7,20013,699778
1011.8,20052,701781
1011.9,20090,703789
1012.0,20128,705799
1012.1,20166,707813
1012.2,20203,709833
1012.3,20240,711854
1012.4,20277,713881
1012.5,20313,715910
1012.6,20349,717943
1012.7,20383,719980
1012.8,20416,722019
1012.9,20448,724063
1013.0,20479,726109
1013.1,20508,728158
1013.2,20537,730211
1013.3,20565,732266
1013.4,20594,734324
1013.5,20622,736385
1013.6,20651,738448
1013.7,20681,740515
1013.8,20710,742584
1013.9,20739,744658
1014.0,20769,746732
1014.1,20800,748810
1014.2,20832,750893
1014.3,20863,752977
1014.4,20893,755065
1014.5,20923,757156
1014.6,20953,759249
1014.7,20982,761346
1014.8,21011,763446
1014.9,21039,765549
1015.0,21066,767654
1015.1,21093,769761
1015.2,21118,771872
1015.3,21143,773985
1015.4,21168,776101
1015.5,21192,778219
1015.6,21215,780338
1015.7,21239,782462
1015.8,21261,784586
1015.9,21284,786715
1016.0,21306,788844
1016.1,21329,790975
1016.2,21351,793110
1016.3,21374,795245
1016.4,21397,797385
1016.5,21420,799525
1016.6,21443,801668
1016.7,21467,803814
1016.8,21490,805961
1016.9,21512,808112
1017.0,21534,810264
1017.1,21555,812418
1017.2,21576,814575
1017.3,21595,816733
1017.4,21613,818894
