ft-MSL, acres, acre-feet
614.8,7229,310131
614.9,7240,310855
615.0,7251,311579
615.1,7263,312305
615.2,7274,313032
615.3,7285,313760
615.4,7297,314489
615.5,7309,315219
615.6,7320,315950
615.7,7332,316683
615.8,7343,317417
615.9,7355,318152
616.0,7366,318888
616.1,7377,319625
616.2,7389,320363
616.3,7400,321102
616.4,7411,321843
616.5,7422,322585
616.6,7433,323327
616.7,7444,324071
616.8,7455,324816
616.9,7466,325563
617.0,7477,326310
617.1,7488,327058
617.2,7499,327807
617.3,7510,328558
617.4,7521,329309
617.5,7532,330062
617.6,7544,330816
617.7,7555,331571
617.8,7567,332327
617.9,7579,333084
618.0,7590,333842
618.1,7602,334602
618.2,7614,335363
618.3,7626,336125
618.4,7638,336888
618.5,7650,337652
618.6,7662,338418
618.7,7674,339185
618.8,7686,339953
618.9,7698,340722
619.0,7710,341492
619.1,7722,342264
619.2,7735,343037
619.3,7747,343811
619.4,7760,344586
619.5,7773,345363
619.6,7786,346140
619.7,7800,346920
619.8,7814,347700
619.9,7830,348483
620.0,7845,349266
620.1,7859,350051
620.2,7875,350838
620.3,7890,351626
620.4,7905,352416
620.5,7920,353208
620.6,7935,354000
620.7,7949,354795
620.8,7963,355590
620.9,7977,356387
621.0,7990,357185
621.1,8003,357985
621.2,8017,358786
621.3,8030,359588
621.4,8043,360392
621.5,8056,361197
621.6,8070,362003
621.7,8083,362811
621.8,8096,363620
621.9,8110,364430
622.0,8124,365242
622.1,8137,366055
622.2,8151,366869
622.3,8164,367685
622.4,8178,368502
622.5,8191,369321
622.6,8205,370140
622.7,8218,370962
622.8,8231,371784
622.9,8244,372608
623.0,8258,373433
623.1,8271,374259
623.2,8284,375087
623.3,8296,375916
623.4,8309,376746
623.5,8322,377578
623.6,8335,378410
623.7,8348,379245
623.8,8361,380080
623.9,8373,380917
624.0,8385,381755
624.1,8397,382594
624.2,8408,383434
624.3,8420,384275
624.4,8431,385118
624.5,8443,385962
624.6,8454,386806
624.7,8466,387653
624.8,8477,388500
624.9,8488,389348
625.0,8499,390197
625.1,8510,391048
625.2,8521,391899
625.3,8532,392752
625.4,8544,393606
625.5,8555,394461
625.6,8567,395317
625.7,8579,396174
625.8,8591,397032
625.9,8603,397892
626.0,8615,398753
626.1,8628,399615
626.2,8640,400479
626.3,8652,401343
626.4,8665,402209
626.5,8678,403076
626.6,8690,403944
626.7,8703,404814
626.8,8716,405685
626.9,8729,406558
627.0,8742,407431
627.1,8755,408306
627.2,8768,409182
627.3,8780,410059
627.4,8793,410938
627.5,8806,411818
627.6,8819,412699
627.7,8832,413582
627.8,8845,414466
627.9,8857,415351
628.0,8870,416237
628.1,8882,417125
628.2,8895,418014
628.3,8907,418904
628.4,8919,419795
628.5,8932,420688
628.6,8944,421581
628.7,8956,422476
628.8,8968,423372
628.9,8981,424270
629.0,8993,425169
629.1,9005,426068
629.2,9018,426970
629.3,9030,427872
629.4,9042,428776
629.5,9054,429681
629.6,9067,430586
629.7,9079,431494
629.8,9092,432402
629.9,9104,433312
630.0,9117,434223
630.1,9130,435135
630.2,9143,436049
630.3,9156,436964
630.4,9170,437881
630.5,9184,438798
630.6,9198,439717
630.7,9211,440638
630.8,9225,441559
630.9,9237,442483
631.0,9251,443407
631.1,9265,444333
631.2,9280,445260
631.3,9294,446189
631.4,9308,447119
631.5,9321,448050
631.6,9335,448983
631.7,9348,449917
631.8,9362,450853
631.9,9376,451790
632.0,9389,452728
632.1,9402,453667
632.2,9416,454608
632.3,9429,455551
632.4,9443,456494
632.5,9456,457439
632.6,9470,458385
632.7,9484,459333
632.8,9498,460282
632.9,9512,461233
633.0,9526,462185
633.1,9540,463138
633.2,9554,464093
633.3,9568,465049
633.4,9582,466006
633.5,9596,466965
633.6,9610,467925
633.7,9624,468887
633.8,9638,469850
633.9,9652,470815
634.0,9667,471781
634.1,9681,472748
634.2,9696,473717
634.3,9710,474687
634.4,9724,475659
634.5,9738,476632
634.6,9752,477606
634.7,9766,478583
634.8,9780,479560
634.9,9794,480539
635.0,9808,481519
635.1,9822,482500
635.2,9836,483483
635.3,9848,484467
635.4,9861,485453
635.5,9873,486439
635.6,9885,487427
635.7,9897,488417
635.8,9909,489407
635.9,9921,490398
636.0,9933,491391
636.1,9945,492385
636.2,9957,493380
636.3,9969,494376
636.4,9981,495374
636.5,9994,496372
636.6,10006,497372
636.7,10018,498374
636.8,10030,499376
636.9,10043,500380
637.0,10055,501385
637.1,10067,502390
637.2,10080,503398
637.3,10092,504406
637.4,10104,505417
637.5,10117,506427
637.6,10129,507439
637.7,10141,508453
637.8,10154,509468
637.9,10167,510484
638.0,10179,511501
638.1,10192,512520
638.2,10205,513540
638.3,10217,514561
638.4,10230,515583
638.5,10243,516607
638.6,10255,517631
638.7,10268,518658
638.8,10281,519685
638.9,10294,520714
639.0,10307,521744
639.1,10320,522775
639.2,10333,523808
639.3,10347,524842
639.4,10360,525878
639.5,10373,526914
639.6,10386,527952
639.7,10400,528991
639.8,10413,530032
639.9,10426,531074
640.0,10439,532117
640.1,10452,533161
640.2,10465,534208
640.3,10479,535255
640.4,10492,536304
640.5,10506,537353
640.6,10520,538404
640.7,10534,539457
640.8,10547,540511
640.9,10562,541567
641.0,10576,542624
641.1,10591,543682
641.2,10606,544742
641.3,10621,545803
641.4,10635,546866
641.5,10650,547930
641.6,10664,548996
641.7,10679,550063
641.8,10694,551132
641.9,10709,552202
642.0,10724,553273
642.1,10739,554346
642.2,10754,555421
642.3,10769,556497
642.4,10784,557575
642.5,10799,558654
642.6,10814,559734
642.7,10830,560817
642.8,10845,561901
642.9,10861,562986
643.0,10877,564073
643.1,10892,565161
643.2,10908,566252
643.3,10924,567343
643.4,10940,568436
643.5,10956,569531
643.6,10972,570627
643.7,10988,571725
643.8,11004,572825
643.9,11020,573926
644.0,11036,575029
644.1,11052,576133
644.2,11068,577239
644.3,11084,578347
